index,area,pop,sex,x_LDI_id_Updated_7July2011,x_ihme_health_system_access_19jul2011,year
90,TWN,10620.5420243,male,0.0432840683906,2.008594,1990.0
91,TWN,9850.39104166,female,0.0432840683906,2.008594,1990.0
92,TWN,11704.9761795,male,0.686699723299,2.008594,2005.0
93,TWN,11290.665966,female,0.686699723299,2.008594,2005.0
94,TWN,11706.7494918,male,,2.008594,2010.0
95,TWN,11561.1031358,female,,2.008594,2010.0
96,BGD,54410.2304488,male,-0.513064399453,2.008594,1990.0
97,BGD,51378.847885,female,-0.513064399453,2.008594,1990.0
98,BGD,72035.6471592,male,-0.496625883864,2.008594,2005.0
99,BGD,68910.3800088,female,-0.496625883864,2.008594,2005.0
100,BGD,75610.1057413,male,,2.008594,2010.0
101,BGD,73685.6935197,female,,2.008594,2010.0
102,BTN,287.123996749,male,-0.476387211372,2.008594,1990.0
103,BTN,272.491794052,female,-0.476387211372,2.008594,1990.0
104,BTN,347.50117948,male,-0.386873471217,2.008594,2005.0
105,BTN,313.562609248,female,-0.386873471217,2.008594,2005.0
106,BTN,385.934194219,male,,2.008594,2010.0
107,BTN,343.138228383,female,,2.008594,2010.0
108,IND,456079.887066,male,-0.489610214382,2.008594,1990.0
109,IND,421518.354428,female,-0.489610214382,2.008594,1990.0
110,IND,592670.00033,male,-0.44735208552,2.008594,2005.0
111,IND,553036.622116,female,-0.44735208552,2.008594,2005.0
112,IND,635024.373061,male,,2.008594,2010.0
113,IND,595355.080696,female,,2.008594,2010.0
114,NPL,9731.80372921,male,-0.512470459784,2.008594,1990.0
115,NPL,9484.33847111,female,-0.512470459784,2.008594,1990.0
116,NPL,13571.537623,male,-0.499154883062,2.008594,2005.0
117,NPL,13780.2951958,female,-0.499154883062,2.008594,2005.0
118,NPL,14906.8555183,male,,2.008594,2010.0
119,NPL,15164.2487135,female,,2.008594,2010.0
120,PAK,58123.1987964,male,-0.464900882274,2.008594,1990.0
121,PAK,54578.5894703,female,-0.464900882274,2.008594,1990.0
122,PAK,81657.7833175,male,-0.446358154796,2.008594,2005.0
123,PAK,78299.0824617,female,-0.446358154796,2.008594,2005.0
124,PAK,88763.4650202,male,,2.008594,2010.0
125,PAK,85827.4604388,female,,2.008594,2010.0
126,IDN,92573.2226324,male,-0.451168117851,2.008594,1990.0
127,IDN,92530.5833304,female,-0.451168117851,2.008594,1990.0
128,IDN,113925.196999,male,-0.392987539211,2.008594,2005.0
129,IDN,114276.773167,female,-0.392987539211,2.008594,2005.0
130,IDN,120138.288751,male,,2.008594,2010.0
131,IDN,120890.022734,female,,2.008594,2010.0
132,KHM,4604.4312639,male,-0.514573693764,2.008594,1990.0
133,KHM,5061.29180038,female,-0.514573693764,2.008594,1990.0
134,KHM,6546.01705651,male,-0.487469944674,2.008594,2005.0
135,KHM,6886.50814712,female,-0.487469944674,2.008594,2005.0
136,KHM,6948.7558095,male,,2.008594,2010.0
137,KHM,7270.3632497,female,,2.008594,2010.0
138,LAO,2115.93105973,male,-0.501167363905,2.008594,1990.0
139,LAO,2117.9124236,female,-0.501167363905,2.008594,1990.0
140,LAO,2869.7788801,male,-0.471691060356,2.008594,2005.0
141,LAO,2899.94939565,female,-0.471691060356,2.008594,2005.0
142,LAO,3098.43486088,male,,2.008594,2010.0
143,LAO,3115.3987418,female,,2.008594,2010.0
144,LKA,8796.80210644,male,-0.452212504551,2.008594,1990.0
145,LKA,8627.82509669,female,-0.452212504551,2.008594,1990.0
146,LKA,9892.07560122,male,-0.38772784175,2.008594,2005.0
147,LKA,10081.6444664,female,-0.38772784175,2.008594,2005.0
148,LKA,10349.1576234,male,,2.008594,2010.0
149,LKA,10624.0228702,female,,2.008594,2010.0
150,MDV,114.418121536,male,-0.451431269177,2.008594,1990.0
151,MDV,106.657457131,female,-0.451431269177,2.008594,1990.0
152,MDV,149.964805201,male,-0.354903940197,2.008594,2005.0
153,MDV,146.160154317,female,-0.354903940197,2.008594,2005.0
154,MDV,160.350665698,male,,2.008594,2010.0
155,MDV,157.415476785,female,,2.008594,2010.0
156,MMR,19605.1894289,male,-0.533110038821,2.008594,1990.0
157,MMR,19875.67958,female,-0.533110038821,2.008594,1990.0
158,MMR,23032.6658691,male,-0.517466964306,2.008594,2005.0
159,MMR,23602.3669122,female,-0.517466964306,2.008594,2005.0
160,MMR,23769.2100129,male,,2.008594,2010.0
161,MMR,24473.3168847,female,,2.008594,2010.0
162,MUS,532.482830213,male,-0.302267589114,2.008594,1990.0
163,MUS,535.119796238,female,-0.302267589114,2.008594,1990.0
164,MUS,623.497919651,male,-0.0878949689095,2.008594,2005.0
165,MUS,636.009361463,female,-0.0878949689095,2.008594,2005.0
166,MUS,643.936624204,male,,2.008594,2010.0
167,MUS,660.016706902,female,,2.008594,2010.0
168,MYS,9259.62949846,male,-0.254280678257,2.008594,1990.0
169,MYS,8987.29470079,female,-0.254280678257,2.008594,1990.0
170,MYS,13254.839684,male,-0.00860756288003,2.008594,2005.0
171,MYS,12829.2041953,female,-0.00860756288003,2.008594,2005.0
172,MYS,14473.1948905,male,,2.008594,2010.0
173,MYS,14065.7090079,female,,2.008594,2010.0
174,PHL,31262.3681313,male,-0.433850274227,2.008594,1990.0
175,PHL,30622.9678287,female,-0.433850274227,2.008594,1990.0
176,PHL,43109.7491878,male,-0.415376936721,2.008594,2005.0
177,PHL,42641.0429322,female,-0.415376936721,2.008594,2005.0
178,PHL,47007.9560898,male,,2.008594,2010.0
179,PHL,46723.7418465,female,,2.008594,2010.0
180,SYC,31.6761106778,male,0.043520223168,2.008594,1990.0
181,SYC,32.1670562634,female,0.043520223168,2.008594,1990.0
182,SYC,36.771162495,male,0.367046026276,2.008594,2005.0
183,SYC,37.2193264296,female,0.367046026276,2.008594,2005.0
184,SYC,38.590167684,male,,2.008594,2010.0
185,SYC,38.9311453626,female,,2.008594,2010.0
186,THA,28448.8952728,male,-0.379259248204,2.008594,1990.0
187,THA,28832.4366256,female,-0.379259248204,2.008594,1990.0
188,THA,32903.0091778,male,-0.228507869403,2.008594,2005.0
189,THA,33978.8674674,female,-0.228507869403,2.008594,2005.0
190,THA,34135.7232502,male,,2.008594,2010.0
191,THA,35339.9004966,female,,2.008594,2010.0
192,TLS,392.335505975,male,-0.488022515643,2.008594,1990.0
193,TLS,371.673537873,female,-0.488022515643,2.008594,1990.0
194,TLS,521.475165562,male,-0.478446907567,2.008594,2005.0
195,TLS,501.010599354,female,-0.478446907567,2.008594,2005.0
196,TLS,578.291838952,male,,2.008594,2010.0
197,TLS,556.699547977,female,,2.008594,2010.0
198,VNM,33044.9213315,male,-0.506163884033,2.008594,1990.0
199,VNM,34743.6062036,female,-0.506163884033,2.008594,1990.0
200,VNM,41186.8118498,male,-0.453733466158,2.008594,2005.0
